#Frame     o_angle_m1   o_angle_m2
       1      25.3141      31.7652
       2      24.2499      32.0667
       3      23.0667      33.6954
       4      28.2570      36.6360
       5      22.2452      34.4461
       6      24.8384      38.3368
       7      26.9258      39.6092
       8      25.7503      35.4562
       9      31.9698      37.9198
      10      26.8180      32.0755
      11      30.3961      38.1734
      12      29.7817      36.6361
      13      29.0701      34.9829
      14      30.4877      38.0497
      15      29.7250      39.0602
      16      29.9230      38.4625
      17      32.4783      42.8063
      18      28.6105      39.5735
      19      29.4508      41.0703
      20      29.5886      39.7966
      21      27.2069      39.3926
      22      30.5227      38.7717
      23      33.3937      38.6850
      24      35.5501      41.1446
      25      35.1960      41.6952
      26      34.6555      39.0800
      27      33.4268      38.4849
      28      35.0972      41.9065
      29      31.9663      39.1184
      30      30.6682      38.3163
      31      30.4317      39.6244
      32      35.0069      42.0065
      33      34.6219      46.5750
      34      30.5212      43.4205
      35      32.4676      40.5984
      36      33.1653      38.2149
      37      35.0838      36.9606
      38      31.3415      38.3998
      39      34.4660      42.4609
      40      32.6210      41.9545
      41      37.3719      42.0931
      42      35.1239      44.9928
      43      36.0174      40.7838
      44      34.8404      42.5308
      45      34.6983      42.1350
      46      30.0293      40.8293
      47      34.7717      41.0409
      48      33.9467      39.3588
      49      36.8443      42.8320
      50      38.0602      43.4141
      51      38.8171      43.5113
      52      38.5478      44.5096
      53      34.4861      45.4730
      54      35.6827      43.1706
      55      33.1752      43.4827
      56      35.0841      40.5414
      57      36.9715      41.2178
      58      35.7301      42.7183
      59      34.6889      43.6692
      60      33.2942      43.1649
      61      34.3321      41.6687
      62      34.9295      43.2316
      63      35.0257      42.9298
      64      36.2289      45.3857
      65      34.4604      44.4034
      66      33.8807      42.7196
      67      35.9418      45.8744
      68      34.3170      44.4292
      69      34.7944      45.8611
      70      35.5772      43.6802
      71      35.6618      41.0166
      72      34.8640      42.1544
      73      36.2883      45.7419
      74      33.7580      45.7514
      75      35.7271      47.2647
      76      36.1509      44.7479
      77      34.0847      44.2057
      78      33.8305      46.8887
      79      34.2158      44.8963
      80      35.9741      48.1650
      81      36.8664      44.6099
      82      37.9173      43.5296
      83      34.7942      43.9302
      84      35.6980      44.5460
      85      36.1617      45.8936
      86      34.1680      47.4506
      87      36.8444      43.8375
      88      40.0159      45.8402
      89      39.1423      44.4301
      90      35.6438      46.2701
      91      38.3582      44.0537
      92      38.0161      46.3141
      93      38.6503      47.1350
      94      41.1921      46.9558
      95      42.1253      45.7552
      96      38.4866      45.2348
      97      34.0285      41.7090
      98      35.3078      44.8343
      99      36.3752      45.7960
     100      37.0131      43.0489
     101      36.6469      41.8383
     102      35.1434      41.2394
     103      39.2991      43.1825
     104      39.1136      43.4876
     105      32.4856      43.4135
